issue_id,design_decisions,parent_id,summary,issue_type,status,priority,resolution,created,updated,resolved,comment_count,downloaded_comment_count,downloaded_human_comment_count,attachment_count
MAPREDUCE-2287,False True True,,add Kerberos HTTP SPNEGO authentication support to Hadoop JT/NN/DN/TT web-consoles,New Feature,Resolved,Major,Not A Problem,2011-01-28T06:20:27.961+0000,2011-08-04T17:26:07.821+0000,2011-08-04T17:26:07.812+0000,4,4,3,3
MAPREDUCE-5332,True True False,,Support token-preserving restart of history server,New Feature,Closed,Major,Fixed,2013-06-19T13:15:53.927+0000,2014-09-03T23:35:27.134+0000,2013-09-27T18:26:50.183+0000,28,28,17,8
MAPREDUCE-989,True False False,,Allow segregation of DistributedCache for maps and reduces,Improvement,Open,Major,,2009-09-16T17:20:27.383+0000,2014-07-23T23:49:35.551+0000,,7,7,7,0
MAPREDUCE-7366,True False False,,FileOutputCommitter Enable Concurrent Writes ,Improvement,Resolved,Major,Duplicate,2021-10-23T19:41:32.951+0000,2021-10-27T09:18:15.479+0000,2021-10-26T16:07:40.694+0000,2,2,2,0
MAPREDUCE-7295,True False False,,Add support to read history files from the done directory,Wish,Open,Minor,,2020-09-08T16:53:39.676+0000,2025-12-11T00:24:47.821+0000,,2,2,0,0
MAPREDUCE-7274,True False False,,Enable to limit running map and reduce tasks when job is running,New Feature,Patch Available,Major,,2020-04-15T15:50:28.310+0000,2020-06-11T09:07:51.922+0000,,10,10,5,2
MAPREDUCE-7236,True False False,,HadoopArchiveLogs will use token to create proxy user when kerberos on,Bug,Open,Major,,2019-08-28T12:01:39.817+0000,2026-02-12T22:19:57.512+0000,,1,1,1,0
MAPREDUCE-7219,True True False,,Random mappers start delay to have a slow processing ramp-up,Improvement,Open,Critical,,2019-06-16T18:47:24.373+0000,2019-06-16T18:47:24.373+0000,,0,0,0,0
MAPREDUCE-7190,True False False,,Add SleepJob additional parameter to make parallel runs distinguishable,Improvement,Resolved,Major,Fixed,2019-03-04T14:01:51.772+0000,2019-10-02T17:15:49.115+0000,2019-04-01T17:38:24.376+0000,12,12,9,2
MAPREDUCE-7185,False True False,,Parallelize part files move in FileOutputCommitter,Improvement,Patch Available,Major,,2019-02-11T22:51:59.820+0000,2026-02-12T22:19:58.670+0000,,8,8,4,1
MAPREDUCE-7180,True True False,,Relaunching Failed Containers,New Feature,Open,Major,,2019-01-31T15:08:15.076+0000,2020-02-26T05:29:31.610+0000,,16,16,16,0
MAPREDUCE-7173,True False False,,Add ability to shuffle intermediate map task output to a distributed filesystem,New Feature,Patch Available,Major,,2018-12-20T02:04:44.688+0000,2019-08-14T01:48:31.813+0000,,2,2,0,1
MAPREDUCE-6785,True False False,MAPREDUCE-6749,ContainerLauncherImpl support for reusing the containers,Sub-task,Resolved,Major,Fixed,2016-09-28T17:41:37.280+0000,2017-04-04T23:05:26.233+0000,2017-04-04T23:05:26.176+0000,22,22,15,8
MAPREDUCE-7169,True False False,,Speculative attempts should not run on the same node,New Feature,Patch Available,Major,,2018-12-03T01:55:27.979+0000,2021-11-18T15:39:01.447+0000,,49,49,40,8
MAPREDUCE-7153,True False False,,Protect XML Entity expansion while parsing XML in AllocationFileLoaderService,Bug,Patch Available,Major,,2018-10-16T15:06:29.830+0000,2018-10-25T15:14:15.398+0000,,6,6,4,2
MAPREDUCE-7148,True False False,,Fast fail jobs when exceeds dfs quota limitation,Improvement,Resolved,Major,Fixed,2018-10-05T02:17:32.497+0000,2019-12-24T02:17:04.598+0000,2018-11-07T14:31:12.521+0000,45,45,34,10
MAPREDUCE-7141,True True False,,Allow KMS generated spill encryption keys,Task,Patch Available,Major,,2018-09-19T21:45:59.931+0000,2025-12-06T00:23:04.472+0000,,9,9,4,1
MAPREDUCE-7127,True False False,,Add aggregated webservice endpoint to fetch all tasks including their attempts,New Feature,Open,Major,,2018-08-03T18:07:02.803+0000,2025-12-28T00:28:11.706+0000,,3,3,0,0
MAPREDUCE-7121,True False False,,Add Abortable support to mapreduce tasks,New Feature,Open,Major,,2018-07-10T21:08:43.574+0000,2025-12-28T00:28:45.833+0000,,4,4,1,0
MAPREDUCE-7110,True True False,,Support delayed retry for MR task attempts,Improvement,Patch Available,Major,,2018-06-11T08:49:25.444+0000,2018-06-20T09:39:51.042+0000,,5,5,1,4
MAPREDUCE-7097,True False False,,MapReduce JHS should honor yarn.webapp.filter-entity-list-by-user,Bug,Resolved,Major,Fixed,2018-05-18T04:37:02.841+0000,2018-06-02T04:29:23.331+0000,2018-06-02T04:29:23.315+0000,20,20,13,7
MAPREDUCE-7065,True False False,,Improve information stored in ATSv2 for MR jobs,Improvement,Open,Major,,2018-03-12T23:03:26.815+0000,2018-03-13T01:45:33.835+0000,,2,2,2,0
MAPREDUCE-7044,True False False,,Distributed Scheduling has invalid AMRMToken,Bug,Open,Minor,,2018-01-28T07:31:56.667+0000,2018-01-28T08:08:16.986+0000,,0,0,0,0
MAPREDUCE-6974,True False False,,"Add standard configuration keys for HTrace values, propagate across to MR committers if set",Improvement,Resolved,Minor,Won't Fix,2017-10-03T15:55:02.070+0000,2018-08-07T00:58:46.532+0000,2018-08-07T00:58:46.505+0000,0,0,0,0
MAPREDUCE-6935,True True False,MAPREDUCE-6943,Allow multiple active timeline clients ,Sub-task,Open,Major,,2017-08-10T14:09:08.688+0000,2017-08-19T16:29:02.163+0000,,0,0,0,0
MAPREDUCE-6994,True False False,MAPREDUCE-6989,Uploader tool for Distributed Cache Deploy code changes,Sub-task,Resolved,Major,Fixed,2017-10-27T22:01:00.065+0000,2017-12-01T20:42:35.144+0000,2017-12-01T20:13:24.654+0000,35,35,23,10
MAPREDUCE-6989,True False False,,[Umbrella] Uploader tool for Distributed Cache Deploy of the mapreduce framework and dependencies,Improvement,Resolved,Major,Fixed,2017-10-23T22:31:08.500+0000,2018-06-06T15:43:43.731+0000,2018-06-06T15:43:43.691+0000,4,4,4,1
MAPREDUCE-6988,True False False,,Let JHS support different file systems for intermediate_done and done,Improvement,Patch Available,Minor,,2017-10-23T08:46:02.742+0000,2018-01-05T01:54:50.958+0000,,8,8,3,4
MAPREDUCE-6956,True False False,,FileOutputCommitter to gain abstract superclass PathOutputCommitter,Improvement,Resolved,Minor,Fixed,2017-09-08T18:05:57.858+0000,2018-02-26T15:03:19.898+0000,2017-09-15T16:01:44.392+0000,8,8,5,2
MAPREDUCE-6938,True False False,,Question,Task,Resolved,Minor,Invalid,2017-08-15T13:46:38.433+0000,2017-08-15T15:56:26.458+0000,2017-08-15T15:56:26.406+0000,1,1,1,0
MAPREDUCE-6916,False True False,,History server scheduling tasks at fixed rate can be problematic when those tasks are slow,Bug,Open,Major,,2017-07-18T20:53:58.331+0000,2017-07-18T20:58:12.336+0000,,1,1,1,0
MAPREDUCE-6893,True False False,,MultipleOutputs to have configuration overrides for a named output,Improvement,Open,Minor,,2017-05-25T07:15:35.498+0000,2023-12-27T16:39:01.226+0000,,2,2,2,0
MAPREDUCE-6889,True False False,,Add Job#close API to shutdown MR client services.,Bug,Resolved,Major,Fixed,2017-05-15T06:14:11.699+0000,2017-07-17T08:29:02.428+0000,2017-07-17T08:14:26.966+0000,14,14,11,2
MAPREDUCE-6877,True True False,,Assign map task preferentially to the data node where the split is on faster storage type,Improvement,Open,Major,,2017-04-18T08:48:26.562+0000,2017-04-18T09:01:32.554+0000,,0,0,0,0
MAPREDUCE-6871,True False False,,Allow users to specify racks and nodes for strict locality for AMs,New Feature,Resolved,Major,Fixed,2017-03-29T18:02:57.940+0000,2017-05-02T12:01:50.919+0000,2017-04-21T23:17:36.868+0000,18,18,12,6
MAPREDUCE-6854,True False False,,Each map task should create a unique temporary name that includes an object name,Improvement,Patch Available,Major,,2017-03-02T11:57:42.172+0000,2026-02-12T22:19:58.867+0000,,9,9,3,2
MAPREDUCE-6840,True False False,,Distcp to support cutoff time,Improvement,Open,Minor,,2017-02-03T00:28:25.310+0000,2018-09-25T11:26:13.005+0000,,1,1,1,1
MAPREDUCE-6823,True False False,,FileOutputFormat to support configurable PathOutputCommitter factory,Bug,Resolved,Major,Duplicate,2016-12-14T16:25:55.941+0000,2018-03-22T06:07:12.754+0000,2018-03-22T06:07:12.731+0000,13,13,9,4
MAPREDUCE-6803,True True False,,MR AppMaster should assign container that is closest to the data,Improvement,Patch Available,Major,,2015-06-26T07:03:04.238+0000,2019-10-25T20:25:57.616+0000,,13,13,10,2
MAPREDUCE-6778,True False False,,Provide way to limit MRJob's stdout/stderr size,Improvement,Open,Minor,,2016-09-14T07:59:19.871+0000,2016-09-15T14:03:43.939+0000,,2,2,2,1
MAPREDUCE-6760,False True False,,LocatedFileStatusFetcher to use listFiles(recursive),Improvement,Open,Major,,2016-08-18T09:23:11.089+0000,2021-11-11T09:57:26.050+0000,,3,3,3,0
MAPREDUCE-6754,True False False,MAPREDUCE-6608,Container Ids for an yarn application should be monotonically increasing in the scope of the application,Sub-task,Patch Available,Major,,2016-08-12T07:38:11.203+0000,2020-12-09T07:08:33.691+0000,,8,8,7,1
MAPREDUCE-6726,True False False,MAPREDUCE-6608,YARN Registry based AM discovery with retry and in-flight task persistent via JHS,Sub-task,Patch Available,Major,,2016-06-24T06:22:16.463+0000,2021-02-25T03:53:36.785+0000,,16,16,9,8
MAPREDUCE-6697,True False False,,Concurrent task limits should only be applied when necessary,Bug,Resolved,Major,Fixed,2016-05-16T19:52:54.446+0000,2017-07-13T21:40:29.324+0000,2017-07-13T21:40:29.263+0000,19,19,13,3
MAPREDUCE-6690,True False False,,Limit the number of resources a single map reduce job can submit for localization,New Feature,Resolved,Major,Fixed,2016-05-06T20:14:28.000+0000,2017-03-09T23:30:06.547+0000,2016-08-17T16:25:56.476+0000,34,34,25,7
MAPREDUCE-4505,True True False,,Create a combiner bypass path for keys with a single value,Bug,Open,Major,,2012-08-01T18:56:19.632+0000,2012-08-01T19:07:35.143+0000,,1,1,1,0
MAPREDUCE-6679,False True False,,"on node failure, only restart mappers whose output is not copied",Improvement,Open,Minor,,2016-04-15T19:38:32.755+0000,2016-07-21T08:04:00.050+0000,,1,1,1,0
MAPREDUCE-6669,False True False,,Jobs with encrypted spills don't tolerate AM failures,Bug,Resolved,Critical,Duplicate,2016-04-05T06:08:38.451+0000,2016-07-21T17:42:14.597+0000,2016-07-21T17:42:14.358+0000,0,0,0,0
MAPREDUCE-6666,True False False,,Support MultiThreads in a Map and Distribution of files in NNBench,Improvement,Patch Available,Major,,2016-03-29T06:27:35.668+0000,2016-06-10T04:17:59.972+0000,,14,14,10,4
MAPREDUCE-6653,False True False,,JobSubmitter with unmanaged MRApplicationMaster  ,New Feature,Open,Major,,2016-03-18T06:10:38.473+0000,2016-03-18T20:07:53.063+0000,,1,1,1,0
MAPREDUCE-6638,False True False,,Do not attempt to recover progress from previous job attempts if spill encryption is enabled,Improvement,Resolved,Major,Fixed,2016-02-19T16:28:02.219+0000,2016-10-03T17:42:04.539+0000,2016-10-03T17:35:02.455+0000,22,22,16,5
MAPREDUCE-6631,False True False,,shuffle handler would benefit from per-local-dir threads,Improvement,Open,Major,,2016-02-08T18:38:24.130+0000,2017-10-20T21:30:19.739+0000,,0,0,0,0
MAPREDUCE-6608,True False False,,Work Preserving AM Restart for MapReduce,Bug,Open,Major,,2015-07-24T13:40:40.695+0000,2019-10-25T20:27:02.522+0000,,20,20,20,4
MAPREDUCE-6598,True False False,,"LineReader enhencement to support text records contains ""\n""",Improvement,Resolved,Minor,Not A Problem,2016-01-05T11:25:19.239+0000,2016-12-13T16:23:24.179+0000,2016-12-13T16:23:24.014+0000,1,1,1,0
MAPREDUCE-6578,True False False,,Add support for HDFS heterogeneous storage testing to TestDFSIO,New Feature,Resolved,Major,Fixed,2015-12-17T13:40:22.668+0000,2016-08-24T14:40:16.683+0000,2016-08-24T14:26:49.566+0000,15,15,10,5
MAPREDUCE-6572,True False False,,Improved incremental data copy of distcp for truncated file,Bug,Open,Major,,2015-12-14T19:42:14.467+0000,2016-01-12T22:32:52.272+0000,,1,1,1,0
MAPREDUCE-6545,True False False,,Test committer.commitJob() behavior during committing when MR AM get failed.,Improvement,Open,Major,,2015-11-11T18:49:56.459+0000,2015-11-24T13:08:42.341+0000,,0,0,0,0
MAPREDUCE-6531,True True True,,CLONE - Mumak: Map-Reduce Simulator,New Feature,Resolved,Major,Won't Fix,2015-10-30T10:28:33.238+0000,2015-11-04T20:25:31.762+0000,2015-11-04T20:25:31.735+0000,2,2,2,11
MAPREDUCE-6490,True False False,,Facilitate the application life time out in mapreduce applications.,Task,Open,Major,,2015-09-24T12:00:49.224+0000,2015-09-24T12:02:11.926+0000,,0,0,0,0
MAPREDUCE-6516,True True False,,JVM reuse in Yarn,Improvement,Open,Major,,2015-10-20T21:10:53.385+0000,2015-10-22T05:54:37.938+0000,,2,2,2,1
MAPREDUCE-6423,True True False,,MapOutput Sampler,Improvement,Open,Minor,,2015-07-01T14:08:11.912+0000,2015-09-12T20:08:03.888+0000,,3,3,3,1
MAPREDUCE-6501,True True False,,Improve reducer preemption,Improvement,Open,Major,,2015-10-05T07:00:09.677+0000,2017-05-24T14:10:32.401+0000,,1,1,1,0
MAPREDUCE-6473,True True False,,Job submission can take a long time during Cluster initialization,Improvement,Resolved,Major,Fixed,2015-09-09T21:49:53.550+0000,2019-10-14T15:37:39.342+0000,2016-01-13T00:00:27.442+0000,26,26,16,10
MAPREDUCE-6466,True False False,,NNBench map task should create files in separate folder,Improvement,Resolved,Major,Duplicate,2015-09-01T12:25:33.060+0000,2016-05-13T16:43:05.209+0000,2016-05-13T16:43:04.685+0000,1,1,1,0
