issue_id,bertopic_topic,assignment_probability
MAPREDUCE-2287,3,0.15311329990172823
MAPREDUCE-5332,6,1.0
MAPREDUCE-989,8,1.0
MAPREDUCE-7366,-1,0.03514953647027702
MAPREDUCE-7295,6,1.0
MAPREDUCE-7274,9,1.0
MAPREDUCE-7236,3,0.145638063079202
MAPREDUCE-7219,-1,0.3791396755808359
MAPREDUCE-7190,-1,0.17073826539734333
MAPREDUCE-7185,-1,0.04330900739371921
MAPREDUCE-7180,-1,0.1905551795023207
MAPREDUCE-7173,-1,0.03981179540586572
MAPREDUCE-6785,-1,0.06758001899018527
MAPREDUCE-7169,-1,0.006878797580054948
MAPREDUCE-7153,3,0.10232254859040621
MAPREDUCE-7148,11,0.3003736349224264
MAPREDUCE-7141,-1,0.05233816394799958
MAPREDUCE-7127,-1,0.08601893852124205
MAPREDUCE-7121,-1,0.16158068188647406
MAPREDUCE-7110,11,1.0
MAPREDUCE-7097,0,0.5347974152836311
MAPREDUCE-7065,-1,0.10366628915058108
MAPREDUCE-7044,0,0.14879246420634518
MAPREDUCE-6974,7,0.3207620784756395
MAPREDUCE-6935,-1,0.014109992917718701
MAPREDUCE-6994,8,1.0
MAPREDUCE-6989,8,1.0
MAPREDUCE-6988,8,1.0
MAPREDUCE-6956,-1,0.26907862246546305
MAPREDUCE-6938,1,0.4537893910654343
MAPREDUCE-6916,6,1.0
MAPREDUCE-6893,14,1.0
MAPREDUCE-6889,0,1.0
MAPREDUCE-6877,13,1.0
MAPREDUCE-6871,0,0.22345254520927305
MAPREDUCE-6854,-1,0.1859573999388556
MAPREDUCE-6840,-1,0.16986977580080412
MAPREDUCE-6823,14,1.0
MAPREDUCE-6803,-1,0.08385988051728652
MAPREDUCE-6778,-1,0.07143126020766162
MAPREDUCE-6760,13,1.0
MAPREDUCE-6754,-1,0.07212899184546848
MAPREDUCE-6726,0,0.22075508468027027
MAPREDUCE-6697,15,1.0
MAPREDUCE-6690,0,0.25428864774479587
MAPREDUCE-4505,1,1.0
MAPREDUCE-6679,11,1.0
MAPREDUCE-6669,-1,0.051771021468359664
MAPREDUCE-6666,13,1.0
MAPREDUCE-6653,0,0.16593747252886537
MAPREDUCE-6638,-1,0.052093694896094105
MAPREDUCE-6631,5,1.0
MAPREDUCE-6608,0,0.1233537133981251
MAPREDUCE-6598,10,1.0
MAPREDUCE-6578,3,0.2595212112494491
MAPREDUCE-6572,-1,0.2144726216144767
MAPREDUCE-6545,-1,0.0735214285756667
MAPREDUCE-6531,2,0.1326893106977763
MAPREDUCE-6490,-1,0.07106651461263176
MAPREDUCE-6516,-1,0.21811441113842886
MAPREDUCE-6423,1,1.0
MAPREDUCE-6501,5,0.0750087556549514
MAPREDUCE-6473,-1,0.09004024419812906
MAPREDUCE-6466,13,1.0
MAPREDUCE-6461,10,1.0
MAPREDUCE-6453,13,1.0
MAPREDUCE-6444,-1,0.07946143186859524
MAPREDUCE-6390,3,1.0
MAPREDUCE-6370,-1,0.01653494314849988
MAPREDUCE-6332,5,0.32792907285982
MAPREDUCE-6327,0,0.22746173399422243
MAPREDUCE-6283,6,0.5453286267934718
MAPREDUCE-6258,6,0.07914359793591498
MAPREDUCE-6251,7,0.1605954522025886
MAPREDUCE-6219,13,1.0
MAPREDUCE-6208,13,1.0
MAPREDUCE-6141,6,0.3930359483109536
MAPREDUCE-6135,6,0.2793134465155715
MAPREDUCE-6113,0,0.2500055186115137
MAPREDUCE-6128,8,1.0
MAPREDUCE-6124,0,1.0
MAPREDUCE-6084,8,0.15451736412823666
MAPREDUCE-6080,0,0.11020418167404886
MAPREDUCE-6059,6,1.0
MAPREDUCE-6047,-1,0.08677096053649401
MAPREDUCE-6018,-1,0.014489874478393843
MAPREDUCE-6000,10,0.5237069800386281
MAPREDUCE-5995,7,0.15882067311508924
MAPREDUCE-5989,0,0.1007375288499357
MAPREDUCE-5951,8,0.12094879765935776
MAPREDUCE-5899,-1,0.18117079613535708
MAPREDUCE-5910,0,0.11056647467623328
MAPREDUCE-5891,-1,0.08775055115516027
MAPREDUCE-5890,-1,0.058721864568202525
MAPREDUCE-5887,0,0.13202539573464067
MAPREDUCE-5871,-1,0.09614453104416507
MAPREDUCE-5870,-1,0.11505006739335771
MAPREDUCE-5786,5,1.0
MAPREDUCE-5712,2,1.0
MAPREDUCE-5691,5,1.0
MAPREDUCE-5651,2,0.4294001061051142
MAPREDUCE-5672,0,0.16590630646462223
MAPREDUCE-5663,-1,0.0877511848181229
MAPREDUCE-5658,0,0.09477386547378247
MAPREDUCE-5646,13,1.0
MAPREDUCE-5643,-1,0.09582820630617227
MAPREDUCE-5633,9,1.0
MAPREDUCE-5615,10,1.0
MAPREDUCE-5605,-1,0.22712603926674083
MAPREDUCE-5583,9,1.0
MAPREDUCE-5577,6,1.0
MAPREDUCE-5553,-1,0.11842195052273106
MAPREDUCE-5548,0,0.09923601409153492
MAPREDUCE-5494,1,1.0
MAPREDUCE-5370,-1,0.09498518185009408
MAPREDUCE-5507,-1,0.19207826706672115
MAPREDUCE-5467,2,1.0
MAPREDUCE-5449,4,0.10797837225459365
MAPREDUCE-5416,3,1.0
MAPREDUCE-5408,9,1.0
MAPREDUCE-5402,13,1.0
MAPREDUCE-5394,4,0.4825536659287421
MAPREDUCE-5381,11,1.0
MAPREDUCE-5279,-1,0.2154314368391583
MAPREDUCE-5353,0,0.125425621861893
MAPREDUCE-5326,5,1.0
MAPREDUCE-5310,0,1.0
MAPREDUCE-5287,-1,0.1594984178245424
MAPREDUCE-5278,8,1.0
MAPREDUCE-5269,-1,0.07981023252169177
MAPREDUCE-5268,6,1.0
MAPREDUCE-5267,6,1.0
MAPREDUCE-5246,0,1.0
MAPREDUCE-5197,-1,0.08404701902889618
MAPREDUCE-5196,-1,0.07958734675307512
MAPREDUCE-5189,0,0.20825551485140884
MAPREDUCE-5177,7,0.1416308670002532
MAPREDUCE-5168,1,0.12626843569790577
MAPREDUCE-5120,0,1.0
MAPREDUCE-5153,1,1.0
MAPREDUCE-5135,0,0.10405578560173646
MAPREDUCE-5124,0,0.08989302619772006
MAPREDUCE-5093,0,0.23952076873595599
MAPREDUCE-5079,-1,0.06225070694723599
MAPREDUCE-5063,1,1.0
MAPREDUCE-5026,15,1.0
MAPREDUCE-5025,-1,0.057646498236693815
MAPREDUCE-5019,-1,0.2097406567133132
MAPREDUCE-5018,-1,0.06810076986591818
MAPREDUCE-5010,1,0.2254446970660976
MAPREDUCE-5002,0,0.08618969253188731
MAPREDUCE-4968,0,0.0955202250634632
MAPREDUCE-4961,1,0.2609844178222458
MAPREDUCE-4949,-1,0.0673125948586372
MAPREDUCE-4946,-1,0.20936406159495807
MAPREDUCE-4917,12,1.0
MAPREDUCE-4912,-1,0.07957374029408766
MAPREDUCE-4900,-1,0.08625333811739024
MAPREDUCE-4899,0,1.0
MAPREDUCE-4891,1,1.0
MAPREDUCE-4876,3,1.0
MAPREDUCE-4868,-1,0.10395431229269023
MAPREDUCE-4863,1,0.23076184283233378
MAPREDUCE-4851,1,1.0
MAPREDUCE-4847,7,1.0
MAPREDUCE-4831,0,0.08010671394539691
MAPREDUCE-4776,1,1.0
MAPREDUCE-4755,1,0.288968229518595
MAPREDUCE-4661,3,0.14860556765229138
MAPREDUCE-4658,8,0.17708726206993503
MAPREDUCE-4650,-1,0.09102014704220829
MAPREDUCE-4616,14,1.0
MAPREDUCE-4591,-1,0.08077289354920464
MAPREDUCE-4590,-1,0.08548207106236012
MAPREDUCE-4589,1,0.13889324550736476
MAPREDUCE-4588,-1,0.31355621585959026
MAPREDUCE-4587,1,0.2214670019059891
MAPREDUCE-4586,5,0.08950135234787987
MAPREDUCE-4585,-1,0.08122932234800594
MAPREDUCE-4584,-1,0.06203680549929356
MAPREDUCE-4553,-1,0.059928145856813726
MAPREDUCE-4552,-1,0.05460059301970029
MAPREDUCE-4551,-1,0.053117005219800104
MAPREDUCE-4550,-1,0.05439524307830527
MAPREDUCE-4525,-1,0.10619866917517486
MAPREDUCE-4502,1,0.14761592620662584
MAPREDUCE-4491,-1,0.05297000872789431
MAPREDUCE-4468,2,0.3363302173154759
MAPREDUCE-4417,5,0.5236685971196695
MAPREDUCE-4401,3,0.2767844849694347
MAPREDUCE-4365,8,0.3200870031163784
MAPREDUCE-4216,14,1.0
MAPREDUCE-4346,4,1.0
MAPREDUCE-4305,2,0.1828060721263934
MAPREDUCE-4265,2,0.5083308471708756
MAPREDUCE-4256,-1,0.15564955241749906
MAPREDUCE-4229,-1,0.04858924035849463
MAPREDUCE-4168,3,0.23207637672513987
MAPREDUCE-4151,2,1.0
MAPREDUCE-4150,8,0.08625852066515786
MAPREDUCE-4131,6,1.0
MAPREDUCE-4059,6,1.0
MAPREDUCE-4058,15,1.0
MAPREDUCE-4049,5,1.0
MAPREDUCE-4039,1,1.0
