topic,label,issue_count,top_terms
-1,Outliers,193,outlier
0,YARN integration and application clients,49,"yarn, rm, mr, jhs, client, app, token, application, log, job, jira, user"
1,Sort/merge and reduce pipeline,43,"sort, reduce, combiner, reducer, map, hash, merge, mapper, key, output, memory, data"
2,"Schedulers, queues and preemption",39,"scheduler, capacity, jobs, fair, queue, tasks, cluster, capacity scheduler, preemption, fair scheduler, scheduling, schedulers"
3,Java/YARN server configuration,36,"java, yarn, apache, org apache, org, server, nodemanager, apache yarn, dfs, principal, trunk, common"
4,Rumen and Gridmix workload traces,26,"rumen, job, jobs, gridmix, traces, information, load, list, string, time, select, trace"
5,Shuffle transfer and memory,25,"shuffle, reduce, version, memory, map output, connection, map, output, copy, rack, data, plugin"
6,Job history and log storage,25,"history, job history, history server, history files, server, files, job, jobhistory, logs, jobs, time, directory"
7,Streaming job execution,22,"job, input, streaming, command, dfs, data, time, output, end, mapper, execution, reducer"
8,Distributed cache and dependencies,21,"cache, distributed cache, distributed, distributedcache, jars, files, file, archive, hdfs, caching, path, tool"
9,Task memory limits,18,"memory, task, tasks, reduce, tasktracker, running, limit, usage, hang, lost, users, memory usage"
10,Input formats and compressed splits,17,"text, file, split, recordreader, inputformat, compressed, data, format, record, line, input, bzip2"
11,Failure recovery and retries,16,"fail, job, bad, failures, failed, map, mapred local, tasktracker, tt, retry, tasks, local dirs"
12,RAID parity and block placement,16,"blocks, raid, files, parity, block, raided, policy, file, fix, processed, source, placement"
13,Input split sizing and file listing,15,"input, files, size, data, implementations, splits, split, listing, large, range, storage, recursive"
14,Serialization and output schemas,14,"field, record, multipleoutputs, write, schema, serialization, parameter, value, methods, class, metadata, output"
15,Heartbeat protocol and task assignment,12,"heartbeat, tasktracker, interval, task, message, tasks, send, jobtracker, band, assignment, response, task heartbeat"
